"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
-9.46674196751488,-9.34926558508904,-17.330104179806,1.56245767739416e-42,8.12477992244963e-41,"RUNX3_MYC_RUNX3",0.463455727377682,0.531082067723848
-10.0342807446496,-9.97062437776588,-17.0803109973439,9.2655812573862e-42,2.40905112692041e-40,"RUNX3_IRF_RUNX3",0.499230148221427,0.572076605650523
-9.24547917610327,-9.311026583244,-16.7133404690736,1.2750701495987e-40,2.21012159263774e-39,"IRF_CTCF_IRF",0.46900547365951,0.53744161957872
-9.21512528578134,-9.15978223565943,-16.5222590061303,5.01324368181909e-40,6.51721678636481e-39,"FOXO_CTCF",0.472826351408072,0.541820030579718
-8.75071868614754,-8.75818103149203,-16.1678554265556,6.38743308413868e-39,6.64293040750423e-38,"MYC_MYC_MYC",0.458124391964763,0.524972796724343
-8.93419295856,-8.83841221430262,-16.1160862347384,9.27043747176194e-39,8.03437914219368e-38,"FOXO_FOXO",0.469530880828987,0.538043692893342
-8.43273162681188,-8.44117424390186,-15.5731063181426,4.64045534255314e-37,3.44719539732519e-36,"MYC_NFKB_MYC",0.457801623888116,0.524602931109539
-9.01862887662914,-8.88735061749498,-15.3866821807254,1.78465474502968e-36,1.16002558426929e-35,"FOXO_MYC",0.496577766810718,0.569037195150706
-8.19046266687457,-8.19527067627911,-15.0935249645819,1.48551209017919e-35,8.58295874325753e-35,"MYC_FOXO_MYC",0.458340526438575,0.525220469018541
-8.87772793216057,-8.92011105348939,-14.6847042762951,2.86763970803777e-34,1.49117264817964e-33,"IRF_MYC",0.511942568163561,0.586643991206081
-8.57728862694348,-8.49415293968773,-14.5389153738116,8.24237307190418e-34,3.89639454308197e-33,"MYC_FOXO",0.49904292966681,0.571862068616608
-8.70349204381069,-8.66902910915365,-14.2140467564485,8.67786552061844e-33,3.76040839226799e-32,"CTCF_MYC",0.518196971941216,0.5938110224766
-8.31322188473371,-8.25151636792134,-14.0955031479668,2.04763345850026e-32,8.19053383400105e-32,"FOXO_FOXO_FOXO",0.498393107704232,0.571117426202777
-8.02359018810047,-7.93952347104299,-13.9440792532303,6.13137433885163e-32,2.27736761157346e-31,"MYC_RUNX3_MYC",0.485679305120459,0.556548456253852
-8.04640345917048,-7.96291218054089,-13.6318571881807,5.88129616321584e-31,2.03884933658149e-30,"NFKB",0.498263657585783,0.570969087035707
-8.46578504621908,-8.40290724351622,-13.6187286120331,6.47092572365318e-31,2.10305086018728e-30,"MYC_IRF_MYC",0.525617189756269,0.602313980553042
-8.39695914161183,-8.46559965968194,-13.5792842916322,8.60815262312916e-31,2.63308197883951e-30,"FOXO",0.52272092408555,0.598995098791054
-8.08623028723324,-8.07304555418447,-13.4986957913974,1.54167289046664e-30,4.45372168357028e-30,"RUNX3_CTCF_RUNX3",0.505753632150627,0.579551980598386
-7.41192777004898,-7.38775671202596,-13.4706636009891,1.88703951116585e-30,5.1645291884539e-30,"RUNX3_PU1_RUNX3",0.463123100744988,0.53070090501631
-8.18077821370193,-8.16792140152797,-13.2532505614873,9.0951569064773e-30,2.3647407956841e-29,"MYC_PU1_MYC",0.521345528104773,0.59741900835078
-7.74867901476756,-7.73627958711296,-12.7474543883357,3.49378332995263e-28,8.65127300750174e-28,"MYC_MEF2_MYC",0.512451010573274,0.587226624304169
-7.67865272989573,-7.71997248155316,-12.5328110562557,1.63611066914022e-27,3.86717067251325e-27,"FOXO_MEF2_FOXO",0.516351559051868,0.591696331395696
-7.41300956363625,-7.49089162246173,-12.1671911132877,2.25110745308238e-26,5.08946032870799e-26,"NFKB_RUNX3",0.512815117247708,0.587643860545104
-7.46993913557845,-7.60753090426277,-11.8191450099884,2.70118568658311e-25,5.85256898759673e-25,"RUNX3_RUNX3_RUNX3",0.532119698096718,0.609765319204907
-6.88922577002591,-6.97164028850909,-11.2419683192048,1.61215649064556e-23,3.35328550054276e-23,"FOXO_IRF_FOXO",0.514361238204598,0.589415587737649
-6.65810974612047,-6.72909937998391,-10.9064731338288,1.70022312004773e-22,3.40044624009547e-22,"PU1_NFKB",0.511691199208749,0.586355943100519
-7.1485595988349,-7.290799607593,-10.8106001316094,3.3262991986877e-22,6.40620586413928e-22,"MYC_NFKB",0.555819634082521,0.636923492606885
-6.51399603790992,-6.50116448883914,-10.5568340635503,1.94199017361011e-21,3.60655317956164e-21,"RUNX3_PU1",0.516725333348734,0.592124645935177
-6.15082656419389,-6.18914978816373,-10.0897862576439,4.84504839006757e-20,8.68767297529358e-20,"IRF_RUNX3_IRF",0.509233681272829,0.583539830083076
-6.48005038036915,-6.45476219941487,-9.7060817409067,6.58184508888539e-19,1.14085314874013e-18,"IRF_MYC_IRF",0.558965051236454,0.640527881434738
-5.75593403487628,-5.74215212714453,-9.54796586076149,1.90424043051496e-18,3.19420975441219e-18,"PU1_CTCF_PU1",0.502038960707441,0.575295273270321
-5.65980035023583,-5.64233651334146,-9.19279314422163,2.02962510855394e-17,3.29814080140015e-17,"FOXO_PU1_FOXO",0.512309856621317,0.587064873508474
-5.5273485806786,-5.5569990927583,-8.65534803349111,6.7944952981604e-16,1.07064774395255e-15,"PU1_FOXO",0.530766960163679,0.60821519301997
-5.14153334138294,-5.24769453352084,-8.24627368321362,9.2195515166765e-15,1.4100490554917e-14,"IRF_NFKB",0.516267856601337,0.591600415285752
-5.07283345431043,-5.06528736435568,-8.14278677341848,1.76662707366334e-14,2.62470308087125e-14,"PU1_RUNX3_PU1",0.515466547173782,0.590682180721945
-4.56325853983609,-4.51994450283496,-8.05859499842378,2.98514868016879e-14,4.31188142691047e-14,"IRF_FOXO_IRF",0.465670126740902,0.53361958689367
-4.52978076890515,-4.64029970155409,-7.00587840085264,1.68316183406108e-11,2.36552473976152e-11,"IRF_IRF",0.531472561415712,0.609023753902449
-4.43598652329368,-4.39578615336084,-6.99797399688649,1.76074699699599e-11,2.40944325904714e-11,"NFKB_IRF_NFKB",0.520376520758606,0.59630860579312
-3.77149324060132,-3.61316867692897,-6.25315899479986,1.12970482576335e-09,1.5062731010178e-09,"NFKB_MYC_NFKB",0.489624938473945,0.56106982689632
-3.83862643057709,-3.84907806671948,-6.10729371687464,2.46984566821595e-09,3.21079936868073e-09,"IRF_PU1_IRF",0.510911606827284,0.585462594481713
-3.96274635293331,-3.91949930043994,-5.93105511160186,6.26136113511468e-09,7.94123851282837e-09,"IRF_IRF_IRF",0.544355441419369,0.623786472639992
-3.4334769137689,-3.38599287715598,-5.35442941623702,1.14304797435477e-07,1.41520225396305e-07,"PU1_MEF2_PU1",0.516717654669572,0.592115846801698
-2.84937903790114,-2.79429511669762,-4.32165590028286,1.22344343222471e-05,1.47951298780663e-05,"PU1_PU1_PU1",0.522255263928535,0.598461490628644
-2.52116331465234,-2.53526123600562,-4.18774878238341,2.10838737220889e-05,2.49173053079232e-05,"PU1_IRF_PU1",0.470559695039638,0.539222629188698
-2.60767296792139,-2.65252502012954,-3.8986421041476,6.69502887858222e-05,7.73647781525056e-05,"NFKB_FOXO_NFKB",0.524818518372193,0.601398768969646
-2.34734944409121,-2.3122624701758,-3.81460219716503,9.15772764439368e-05,0.000103522138588798,"PU1_MYC_PU1",0.476826873046181,0.54640429867273
-1.91894460723532,-1.92822677342195,-2.85107283780926,0.00250982294624895,0.00277682538733926,"NFKB_NFKB_NFKB",0.506844904967759,0.580802489309224
-1.43233426766615,-1.4480914748581,-2.21156375749891,0.0148204183747388,0.0160554532393003,"NFKB_PU1_NFKB",0.461395176679964,0.528720846445203
-0.948964936547763,-0.951536102732677,-1.12841736023957,0.153959246831726,0.163385323168362,"NFKB_RUNX3_NFKB",0.530465313031652,0.607869530267012
-0.684861485470321,-0.689579684582965,-0.794456181470601,0.251757628642848,0.261827933788562,"PU1_FOXO_PU1",0.463352087360055,0.530963304805172
0.626737125568263,0.571790160370326,0.61342542806319,0.337607512899275,0.344227268054162,"PU1_PU1",0.51740591597044,0.59290453752922
-0.296770761932156,-0.314129611788734,-0.0574339361589609,0.647967452620781,0.647967452620781,"PU1_NFKB_PU1",0.512597173483344,0.587394114953047
