"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
-9.85665867324214,-9.86223581676581,-25.0290509547545,3.57900518057428e-19,1.38312477992996e-17,"MYC_MYC_MYC",0.359790366217228,0.383299561967048
-9.499734432443,-9.49555703773198,-24.602295105483,5.31971069203832e-19,1.38312477992996e-17,"MYC_NFKB_MYC",0.351689652376952,0.375440583368608
-10.2248108232784,-10.2267655984519,-20.5586247152497,3.66397190369903e-17,5.50025341959062e-16,"FOXO_CTCF",0.486962186976815,0.484554611771054
-8.31794972541982,-8.28906092171607,-20.3813582614444,4.23096416891587e-17,5.50025341959062e-16,"RUNX3_PU1_RUNX3",0.378821098858113,0.395209937250531
-10.5090520210302,-10.4375130767538,-18.8896157220059,2.62255516071065e-16,2.72745736713908e-15,"IRF_CTCF_IRF",0.468798340928438,0.542415354869291
-9.88535614310314,-9.88542621740348,-18.4624442219563,4.36433773476572e-16,3.51779185489942e-15,"FOXO_FOXO",0.485359903022866,0.521183523784248
-9.27089939897284,-9.26255000001902,-18.3826096151859,4.73548903544152e-16,3.51779185489942e-15,"MYC_FOXO_MYC",0.485147536032081,0.490021013430956
-11.1012098597224,-11.1009898853517,-18.0589784939418,7.48326242332731e-16,4.86412057516275e-15,"RUNX3_IRF_RUNX3",0.528738561071603,0.600154402837596
-9.90411357418338,-9.94511742832561,-17.7806106538422,1.03459460532261e-15,5.97765771964176e-15,"FOXO_MYC",0.51398700159456,0.542224300168579
-9.47261542585881,-9.44598578518842,-17.5910419401952,1.3053646727113e-15,6.78789629809876e-15,"MYC_IRF_MYC",0.515930977191104,0.523538119648349
-8.99262409151806,-8.99760639809135,-17.3601544430378,1.73905041283099e-15,8.22096558792831e-15,"MYC_RUNX3_MYC",0.490248144611904,0.502852075096902
-10.5049141784635,-10.4625166512615,-17.2190114660898,2.18729065257395e-15,9.47825949448712e-15,"RUNX3_MYC_RUNX3",0.469527329382932,0.59480068253625
-9.3126933912369,-9.28738551472096,-16.3403888498423,6.93594837922541e-15,2.71212995270565e-14,"MYC_PU1_MYC",0.559916585134913,0.553821519705784
-9.50168754092831,-9.49296064171191,-16.307285752439,7.30188833420752e-15,2.71212995270565e-14,"MYC_FOXO",0.513028976790438,0.566535306693372
-9.96093588032203,-10.1044320254468,-16.0407345646032,1.07288710937816e-14,3.71934197917761e-14,"IRF_MYC",0.543086811584252,0.604579636638861
-9.79145528140188,-9.82943110934547,-15.7997356787748,1.50085338101753e-14,4.87777348830697e-14,"CTCF_MYC",0.555755027312264,0.603074701329877
-8.83826131796384,-8.87919685494806,-15.4356154394693,2.45978314821659e-14,7.52404257101544e-14,"NFKB",0.525044197586372,0.555548105338445
-9.64883323378125,-9.58801794280125,-15.077596523286,4.25705528270496e-14,1.22981597055921e-13,"FOXO",0.510494434703665,0.622499667864962
-9.13697735790264,-9.14876934871341,-14.6152577077024,8.37447859259854e-14,2.27860936038043e-13,"RUNX3_CTCF_RUNX3",0.592014155438601,0.607169789923865
-9.31397806233282,-9.26381277448867,-14.588832855072,8.76388215530933e-14,2.27860936038043e-13,"FOXO_FOXO_FOXO",0.528010115185328,0.620402176542339
-8.87876649108903,-8.86393520481291,-14.5020924625108,9.86705020929356e-14,2.4432695756346e-13,"MYC_MEF2_MYC",0.59710699721368,0.594102686045319
-7.87661590392731,-7.82703994564214,-14.0780490841066,1.83603237326299e-13,4.33971288225799e-13,"FOXO_IRF_FOXO",0.521596669627405,0.540812256911995
-7.46892751939283,-7.47068797796676,-13.5364948624429,4.27063800603875e-13,9.65535549191369e-13,"RUNX3_PU1",0.525159406881272,0.532330798096918
-7.13585907590924,-7.14584842800203,-13.4760054047654,4.6502915649965e-13,1.00756317241591e-12,"IRF_RUNX3_IRF",0.514473675727229,0.510004594361849
-8.74686016550388,-8.74988436986266,-13.1695612866241,8.10877406457213e-13,1.686625005431e-12,"FOXO_MEF2_FOXO",0.593394676022003,0.644199573169291
-8.66501227790449,-8.55497997620164,-12.9710206215794,1.1232945368484e-12,2.24658907369681e-12,"NFKB_RUNX3",0.566409081339282,0.647749943292252
-8.79257247607551,-8.65266214408551,-12.3353840532391,3.31512066231001e-12,6.38467683111558e-12,"RUNX3_RUNX3_RUNX3",0.564364009192566,0.691469194102794
-7.85545632267342,-7.81248960292983,-12.0674006865515,5.12372276619127e-12,9.51548513721236e-12,"PU1_NFKB",0.571407059626233,0.629167963677628
-6.43224811756352,-6.45268536109739,-11.1884372714364,2.36955653092974e-11,4.24885998649471e-11,"FOXO_PU1_FOXO",0.533052314483116,0.551391902377596
-7.52826313455525,-7.49717855139122,-10.3793915693728,1.15186584146303e-10,1.99656745853592e-10,"IRF_MYC_IRF",0.696515193761592,0.699966725425359
-6.57839369258168,-6.59094822065233,-10.2730240795395,1.36654106678283e-10,2.29226243460346e-10,"PU1_CTCF_PU1",0.571577810918169,0.614751726254202
-8.40416228181133,-8.39843429165047,-9.89056864810614,3.12849118088427e-10,5.08379816893694e-10,"MYC_NFKB",0.694552581472804,0.823120304365555
-5.95604911836719,-5.95129260951268,-9.70557770389167,4.13610372942248e-10,6.51749678575663e-10,"IRF_NFKB",0.530536198651165,0.586571442341928
-5.95194901280343,-5.98356988506204,-9.55117191433582,5.67023361637723e-10,8.67212200151811e-10,"PU1_RUNX3_PU1",0.529610000228592,0.5956247733779
-6.47677547243077,-6.39395100720361,-8.96242714866511,1.98960798482863e-09,2.95598900603111e-09,"PU1_FOXO",0.551812809038751,0.693310078121245
-5.21510221208536,-5.2192709629541,-8.74130446381402,3.0209581168382e-09,4.36360616876629e-09,"IRF_FOXO_IRF",0.488039229796277,0.566513593795001
-5.16276783907237,-5.17967378994761,-8.5806936431833,4.27143327106039e-09,6.00309540797677e-09,"NFKB_IRF_NFKB",0.545515622242159,0.571018339191149
-4.61852319747279,-4.62182885766259,-8.32790779685523,7.25211007558069e-09,9.9239401034262e-09,"IRF_PU1_IRF",0.512021086856622,0.52299916111988
-4.42236430118801,-4.38476811897541,-7.86630391599223,2.02682043174892e-08,2.7024272423319e-08,"NFKB_MYC_NFKB",0.510483984604849,0.528752758572967
-5.44640170318992,-5.53548952339465,-7.40189167516001,6.25104092338386e-08,8.12635320039902e-08,"IRF_IRF",0.656012194764266,0.700276027377026
-3.15388118231112,-3.15740590427586,-6.78211764297818,2.42437682114718e-07,3.07481938291838e-07,"PU1_IRF_PU1",0.411032233217484,0.426245448495035
-4.97732514204577,-4.71158594786144,-6.65121865896631,3.68645572885217e-07,4.56418328334078e-07,"IRF_IRF_IRF",0.636428954768017,0.708786010193302
-4.09925253518868,-4.07203790331515,-6.41834870080415,6.21984761204031e-07,7.52167618200224e-07,"PU1_MEF2_PU1",0.531667010762513,0.597695498980018
-3.45646554429001,-3.46152858639733,-6.06359584812945,1.44788913201214e-06,1.71114170146889e-06,"PU1_PU1_PU1",0.507011388115158,0.526656330408525
-3.34448660887939,-3.34698140555595,-6.03813311807834,1.53304559931798e-06,1.77151935921188e-06,"NFKB_FOXO_NFKB",0.510571631182854,0.510331942470702
-2.95367851683133,-2.96431039003037,-5.34271475741381,8.76606244142196e-06,9.90946189030308e-06,"PU1_MYC_PU1",0.488085059863759,0.503609912407146
-2.46806854120049,-2.47624430611306,-4.03515181571367,0.000252740287443179,0.000279627552064794,"NFKB_NFKB_NFKB",0.544129464735373,0.546456301044205
-2.08655796743652,-2.0617683159262,-3.82522957020412,0.000420962380389417,0.000456042578755202,"NFKB_PU1_NFKB",0.473981840635127,0.476709574715909
-1.4457707300461,-1.47903147364732,-2.04258537448697,0.0294263477872942,0.0312279609171285,"NFKB_RUNX3_NFKB",0.517310980663568,0.579038868575746
-1.19897344875378,-1.19930363863427,-1.84641252508798,0.0424917190368729,0.0441913877983479,"PU1_FOXO_PU1",0.487141347697746,0.506895956457722
-0.773585430200079,-0.787503025449989,-0.861124241273645,0.245203374815818,0.250011284125932,"PU1_NFKB_PU1",0.563667814551063,0.592888923450994
0.012591892765263,0.130129418923108,0,0.985046024034825,0.985046024034825,"PU1_PU1",0.569340424644827,0.602428739793823
