"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
-4.60713681692182,-4.55569034487636,-7.66835975809961,1.04206320717144e-13,1.67772176354602e-11,"NFKB_CTCF_NFKB",0.505273658393948,0.566496949559471
-4.70424946260407,-4.64105008035834,-7.21793879145191,1.91600939876708e-12,1.5423875660075e-10,"MEF2_RUNX3",0.54880453386714,0.615302399353946
-4.14194738724646,-4.15540010372556,-7.05225159529438,5.41199284161203e-12,2.90443615833179e-10,"FOXO_CTCF_FOXO",0.490581674288094,0.550024758617641
-4.83403838144713,-4.81898614369299,-7.00390413572499,7.33393794003789e-12,2.95191002086525e-10,"RUNX3_MEF2_RUNX3",0.582103871628676,0.65263657055183
-4.43965116299322,-4.36015495753975,-6.75943296694812,3.27150376254298e-11,1.05342421153884e-09,"MEF2_MEF2_MEF2",0.551116537283873,0.617894544939199
-4.21833348895571,-4.13715106602222,-6.62453536932584,7.34563320858273e-11,1.82075042614579e-09,"MEF2",0.532540923863478,0.597068150837638
-4.32877006948477,-4.31118586547986,-6.60190835203858,8.41118245978174e-11,1.82075042614579e-09,"MYC_MYC_MYC_MYC_MYC",0.549286253067666,0.61584248778545
-4.59467561925851,-4.49743997353273,-6.57344354266167,9.98098875949329e-11,1.82075042614579e-09,"NFKB_CTCF",0.587744565081007,0.658960738814039
-3.86882914243433,-3.87507564490429,-6.56935910515153,1.01781079722435e-10,1.82075042614579e-09,"MYC_MYC_MYC_MYC",0.489561300471926,0.548880747556175
-3.94903931212147,-3.92442319328971,-6.48562596186131,1.66846404182149e-10,2.68622710733259e-09,"RUNX3_NFKB_RUNX3",0.506912607113974,0.568334487366865
-4.70121090259142,-4.66055358113322,-6.46578832136775,1.88533079303534e-10,2.7594387061699e-09,"FOXO_CTCF_FOXO_CTCF",0.612226563086603,0.686409185727687
-3.99231225633584,-3.91598782244225,-6.28353362717277,5.39432869632289e-10,7.23739100089988e-09,"CTCF_CTCF_CTCF",0.529358486708622,0.593500102295148
-4.8911201653715,-4.70406339345792,-6.2309863621022,7.35731369991044e-10,9.11175004373524e-09,"CTCF_RUNX3_CTCF",0.662481384405171,0.742753312330521
-4.19015850122834,-4.16468295596827,-6.19807754089869,8.80259774477829e-10,1.0122987406495e-08,"FOXO_CTCF",0.565127839011647,0.633603576186485
-3.63371469353452,-3.62650913410831,-6.12988365203234,1.289256744732e-09,1.30587154916062e-08,"MYC_IRF",0.490449630518249,0.549876715291844
-4.13843368341783,-4.13220547719935,-6.12941658218008,1.29776054574969e-09,1.30587154916062e-08,"IRF_CTCF",0.563931555819981,0.63226234106047
-3.80615025997565,-3.73912793394166,-6.03174467704094,2.236524263715e-09,2.11812003798891e-08,"RUNX3_NFKB",0.523927851370667,0.58741144459053
-4.08120869391729,-3.96931718230313,-6.01077932107658,2.51962268003665e-09,2.253662508255e-08,"CTCF_CTCF",0.56657061609466,0.63522117251838
-4.61723636138747,-4.5113600944677,-5.9250034524428,4.07821422779929e-09,3.45574995092466e-08,"CTCF_FOXO_CTCF",0.655464300008654,0.734885977789346
-3.55712356253249,-3.52268884408799,-5.89712223966558,4.69376913756385e-09,3.7784841557389e-08,"PU1_MYC_PU1",0.498223606559228,0.558592652962456
-3.48203888684407,-3.49569000383194,-5.87342340349498,5.33990176618659e-09,4.09349074361924e-08,"FOXO_FOXO_FOXO",0.488831691348238,0.548062732731785
-3.86598488517537,-3.81344341342013,-5.8594546386184,5.78204485136924e-09,4.09349074361924e-08,"RUNX3_PU1_RUNX3",0.548441333959332,0.614895191029436
-3.64542767690588,-3.597294391603,-5.85699091979547,5.84784391945606e-09,4.09349074361924e-08,"MEF2_IRF_MEF2",0.515084679861026,0.577496758555706
-3.52084859500507,-3.5128155883948,-5.83091704019715,6.73163667215265e-09,4.51580626756907e-08,"RUNX3_PU1",0.498331717743191,0.558713863824947
-3.468165079801,-3.46115314797152,-5.78836956529082,8.47138988682453e-09,5.42229034409078e-08,"MYC_IRF_MYC",0.493876738089604,0.553719080617509
-3.75150090485108,-3.66406816672968,-5.78271404932964,8.75649372337642e-09,5.42229034409078e-08,"RUNX3_MYC_RUNX3",0.538061504069037,0.603257651901652
-3.88044123730902,-3.83754632644478,-5.76570106216348,9.61147728297111e-09,5.73128830577166e-08,"RUNX3_MEF2",0.559595630693402,0.627401038047895
-3.84152219352274,-3.84132219448806,-5.75489549458251,1.01824275245836e-08,5.85489582663559e-08,"CTCF_RUNX3",0.554614449142656,0.621816293807183
-3.56303416434189,-3.53853859549884,-5.73181851385269,1.14919670711658e-08,6.38002309813e-08,"RUNX3_CTCF_RUNX3",0.513511955414239,0.575733469322631
-3.39427483586236,-3.3972549123126,-5.70777106230145,1.3050637404915e-08,7.00384207397105e-08,"MYC_PU1_MYC",0.489304210069446,0.548592505874966
-4.09631835250304,-3.99749088604552,-5.67340638472977,1.58032073834599e-08,8.20747222173242e-08,"PU1_CTCF",0.602637536719296,0.675658270661996
-3.4558745567371,-3.41970035144998,-5.65033881228322,1.77242502713539e-08,8.91751341777492e-08,"NFKB_RUNX3",0.504001429079921,0.565070566027372
-3.879493101355,-3.8901966154408,-5.64341800630431,1.84754006094345e-08,9.0137560549059e-08,"RUNX3_RUNX3",0.571571244776895,0.640827720271869
-3.92370590584699,-3.90270976967306,-5.60992528671036,2.20704914402883e-08,1.04510268290777e-07,"CTCF",0.58201310375383,0.652534804462575
-3.70088129298142,-3.65036874065896,-5.60304553864447,2.28178011962133e-08,1.04961885502581e-07,"MEF2_FOXO_MEF2",0.547257169886891,0.613567543479101
-4.04687291035694,-4.07991193854683,-5.56519576925372,2.79833196219868e-08,1.25147623864997e-07,"MYC_CTCF_MYC",0.606430768440539,0.679911122880507
-3.33485601307935,-3.30084846785879,-5.46788864508857,4.60140603426397e-08,1.97431795835084e-07,"NFKB",0.501078087781606,0.561793007618171
-3.62905076371072,-3.6196775490951,-5.46612668847269,4.65988089548646e-08,1.97431795835084e-07,"RUNX3_MYC",0.549244366371384,0.615795525737702
-3.41926264512412,-3.37705221783633,-5.42104767587103,5.86321121021687e-08,2.42045385857671e-07,"PU1_PU1_PU1",0.51929513799154,0.582217391914599
-3.89874490890306,-3.83795646445393,-5.39202982274882,6.85342494174557e-08,2.75850353905259e-07,"FOXO_MYC_FOXO_MYC",0.601403693814572,0.674274924765866
-3.25900569175021,-3.23575936312687,-5.35260052584516,8.30399689967964e-08,3.26083780694737e-07,"PU1_RUNX3_PU1",0.499231403443903,0.559722563163511
-3.38550285216811,-3.29695845184362,-5.34027528760933,8.85414920905983e-08,3.3940905301396e-07,"RUNX3_IRF",0.521511026291502,0.584701776250966
-3.50756281124427,-3.44559995765922,-5.32387225690688,9.63868214450552e-08,3.60890191922183e-07,"RUNX3",0.543566941881253,0.60943017579004
-3.34882031966095,-3.32432866127533,-5.31408729310398,1.01064312872851e-07,3.69803508466569e-07,"MYC_RUNX3_MYC",0.517924183437204,0.580680320745116
-3.31005272563976,-3.27554175425666,-5.30745769917665,1.04459021763156e-07,3.73731166752626e-07,"MYC_FOXO_MYC",0.512056172734142,0.574101291523935
-3.54753973925336,-3.54544409951394,-5.24140248581161,1.4615026908648e-07,5.11525941802681e-07,"CTCF_PU1",0.558922435790216,0.626646273074938
-3.14827182055109,-3.17211273290141,-5.2203118290562,1.61488063512358e-07,5.53182515435949e-07,"PU1_CTCF_PU1",0.492962849612279,0.552694457572074
-3.50704768921852,-3.48787418457678,-5.19919031862666,1.80334196303855e-07,6.04870950102515e-07,"CTCF_MYC",0.556513867223987,0.623945861678249
-3.50333219468925,-3.47627669907794,-5.17718545677692,2.0116882055353e-07,6.53444842419334e-07,"MYC_MEF2_MYC",0.558239141062083,0.625880184495597
-3.46070344508149,-3.42418977532114,-5.17528014054554,2.02933180875569e-07,6.53444842419334e-07,"FOXO_FOXO",0.551097867621888,0.617873613100802
-3.15459369065764,-3.13811244175754,-5.12597290484517,2.57717940393936e-07,8.13580164773015e-07,"MYC_MYC",0.503135402129182,0.564099603821685
-3.9214774691006,-3.90059922328136,-5.08479632900857,3.20146839570894e-07,9.9122386867142e-07,"MYC_CTCF",0.641729228656717,0.719486647359998
-3.46243234883655,-3.39441653364908,-5.07627501191412,3.30478546983172e-07,1.00390652951492e-06,"MEF2_NFKB",0.562149981675488,0.630264896108605
-3.06370823660238,-3.05346403538533,-5.04577044804369,3.80993563382464e-07,1.13592525378846e-06,"MYC_NFKB",0.495067168999192,0.555053754348743
-3.04108689310486,-3.06009425319806,-5.01742622710642,4.36985055955809e-07,1.27917443652519e-06,"MYC_MYC_MYC",0.493842580353263,0.553680784036796
-3.16277714791726,-3.13051376963635,-4.99963492525596,4.77075674469673e-07,1.36770468143198e-06,"IRF_RUNX3",0.517309267593361,0.579990896422305
-4.41266702974826,-4.26926520931191,-5.00288122526419,4.84218427587719e-07,1.36770468143198e-06,"MEF2_MEF2",0.739807175059435,0.829448559154097
-4.59439890457502,-4.58125223119815,-4.99556676683799,5.04692655327659e-07,1.40095719840954e-06,"CTCF_PU1_CTCF",0.773337458432998,0.867041659315631
-3.78350522584735,-3.56508587625281,-4.95442086851319,6.00976405159446e-07,1.63995256323171e-06,"FOXO_FOXO_FOXO_FOXO",0.633777671555047,0.710571611383925
-3.17697003639615,-3.15384686226744,-4.91755406602887,7.07440155772418e-07,1.89829775132265e-06,"FOXO",0.528518133261065,0.592557924414541
-3.07684842130777,-3.06450143544843,-4.90984809443955,7.32626408736259e-07,1.9336533083039e-06,"NFKB_MYC",0.511159474225074,0.573095941330782
-2.97164610210176,-2.97772953657806,-4.8760394212723,8.58675509722448e-07,2.21430460738543e-06,"IRF_NFKB_IRF",0.49546002857094,0.555494216156525
-3.36848262213702,-3.37730699975494,-4.87570124837336,8.66467020281255e-07,2.21430460738543e-06,"RUNX3_CTCF",0.568088877909697,0.636923399960011
-2.94531456744183,-2.94667172446491,-4.82043590163356,1.11532660690656e-06,2.80574349549932e-06,"IRF_RUNX3_IRF",0.496303007748921,0.556439337923581
-3.381757745065,-3.36427314871952,-4.8094854603876,1.18444253260657e-06,2.93377304230243e-06,"CTCF_FOXO",0.578372075027274,0.648452597459327
-3.20939466406989,-3.19710726076627,-4.78875488365766,1.30007717364655e-06,3.17140037813779e-06,"PU1_PU1",0.548772477329973,0.615266458571724
-2.91063376018311,-2.9167563588785,-4.78102548311415,1.34018348387062e-06,3.22044090900254e-06,"FOXO_RUNX3_FOXO",0.493924182774409,0.55377227410735
-3.18024977025918,-3.14102714628678,-4.75203711019228,1.54162510577673e-06,3.6500241475008e-06,"FOXO_MYC",0.547542394239839,0.613887328061575
-2.8536171480356,-2.85364426908487,-4.73796910573816,1.63520125129671e-06,3.81546958635898e-06,"PU1_FOXO_PU1",0.487679303935432,0.546770712173776
-3.17541310280652,-3.15573217736439,-4.70803846898825,1.88958449306393e-06,4.34604433404704e-06,"MYC_RUNX3",0.551743118057477,0.618597047614733
-3.29880619201974,-3.27125390545434,-4.69015708226682,2.0580220532281e-06,4.66678240239048e-06,"FOXO_RUNX3_FOXO_FOXO",0.577312304724659,0.647264416295137
-2.84917307576179,-2.86310534344061,-4.6829507763841,2.10656255563793e-06,4.71050793691259e-06,"FOXO_MYC_FOXO",0.492562446144998,0.552245537785658
-3.25573239236637,-3.25146373935744,-4.67548653599788,2.19914031468602e-06,4.81161478738084e-06,"CTCF_IRF",0.570906730129628,0.640082687329105
-3.49770801894164,-3.46649340109806,-4.67315047480897,2.23769876291286e-06,4.81161478738084e-06,"MEF2_MYC",0.617376056368126,0.692182635792415
-3.4194214235155,-3.35221779313008,-4.67229492390609,2.24143545996002e-06,4.81161478738084e-06,"RUNX3_RUNX3_RUNX3",0.602544438099427,0.675553891414656
-3.28066394738449,-3.26469190498565,-4.65860385584072,2.37761926219915e-06,5.03679870018504e-06,"FOXO_MEF2",0.577749027105704,0.647754055706486
-3.0055447918794,-2.83261565527667,-4.6269466331164,2.72875249574353e-06,5.69340733481111e-06,"MYC",0.528667816094748,0.592725744104473
-2.98127719431731,-2.9578316872501,-4.6244602762579,2.75829672121284e-06,5.69340733481111e-06,"RUNX3_FOXO",0.524271528524623,0.587796764616846
-3.1930027204895,-3.17450837562586,-4.56279093138187,3.66501585693195e-06,7.46920953121574e-06,"MEF2_FOXO",0.572745170834317,0.642143889281454
-2.92823469827752,-2.92071977540461,-4.53821717592851,4.0651833869588e-06,8.14415867896741e-06,"NFKB_IRF",0.523809847800233,0.587279142695156
-4.25829373139823,-4.26860822603444,-4.5465394609059,4.09737175774137e-06,8.14415867896741e-06,"MEF2_MYC_MEF2",0.783778039707362,0.87874731098636
-3.17518630859783,-3.16459441976246,-4.51823153710969,4.47400201655142e-06,8.7843210324973e-06,"rd",0.574876590477732,0.644533570014195
-2.80573485620111,-2.78743785764311,-4.50574657254956,4.68641173187559e-06,9.09050950399964e-06,"IRF_CTCF_IRF",0.503335452325108,0.564323893815569
-3.3355761417528,-3.1851605448263,-4.46638375008013,5.66426416029424e-06,1.08565063072306e-05,"PU1_MEF2",0.613579495560212,0.687926051106531
-3.55823730006341,-3.38307235331069,-4.46265963415998,5.80400526452617e-06,1.09934687951613e-05,"CTCF_NFKB_CTCF",0.658593557106708,0.738394402523123
-3.05031157155799,-3.05072834917452,-4.43285726032996,6.51070089187226e-06,1.21886377161795e-05,"PU1_MYC",0.560822581050817,0.628776656236553
-4.08722718963074,-4.12593667454687,-4.41534924628698,7.3151275083266e-06,1.35371899866734e-05,"FOXO_MYC_FOXO_MYC_FOXO",0.772509445774054,0.866113317539454
-2.66886365032139,-2.67252895201662,-4.35014778508838,9.2488659708845e-06,1.69212206967319e-05,"PU1",0.493275869112935,0.553045405200807
-2.75020972928767,-2.73335365568316,-4.33256993330782,9.99868834623097e-06,1.80875148735189e-05,"NFKB_PU1",0.512023507880273,0.574064668716142
-3.22770717953134,-3.17146150263115,-4.27812872005414,1.28344288324104e-05,2.29593671335342e-05,"CTCF_NFKB",0.618090401722601,0.692983537358368
-2.6401208030005,-2.61500264908835,-4.21712685302342,1.63238963257516e-05,2.88807396532527e-05,"IRF_NFKB",0.502756140681437,0.563674387803269
-2.67968502166558,-2.62213969900921,-4.18651307147632,1.85923763593201e-05,3.25366586288102e-05,"NFKB_FOXO",0.514861595043433,0.577246642867781
-2.93917441754509,-2.93196918664641,-4.18462134759164,1.8899580152449e-05,3.27186280058526e-05,"MYC_FOXO",0.570402929150365,0.639517841501114
-2.81794488685029,-2.79026400571702,-4.14505498060125,2.22171519838906e-05,3.80527815894297e-05,"NFKB_MEF2",0.5497616919649,0.616375534938237
-2.58049758961362,-2.56798533294386,-4.13422637631504,2.30701787234773e-05,3.88173034548786e-05,"MYC_NFKB_MYC",0.499974289607611,0.560555463787992
-2.74883340034485,-2.71241269625444,-4.13468283835746,2.31457213147102e-05,3.88173034548786e-05,"FOXO_NFKB_FOXO",0.536232199123586,0.601206692675505
-2.51552055095066,-2.51480086888151,-4.11789942272666,2.46439592991374e-05,4.09038912078465e-05,"IRF_MYC",0.48788276369071,0.546998824858474
-3.09423913958361,-2.94354135592684,-4.1185697022482,2.50769011015925e-05,4.11977660954735e-05,"MYC_MEF2",0.613131935609517,0.687424260952619
