"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
5.03724248451061,5.03323976983035,36.2198907977536,1.44060325540349e-14,2.31937124119962e-12,"IRF_PU1",0.118525960749981,0.131811774511836
3.35780444595974,3.36082898084728,27.5063566716254,4.33207962282345e-13,3.48732409637288e-11,"MYC_MYC_MYC",0.101480429398434,0.112511085240104
-2.37036256277838,-2.36525197372786,-15.8812278968812,3.99023547865383e-10,2.14142637354422e-08,"NFKB_CTCF_NFKB",0.116419412772608,0.132693024155798
-2.1239004641118,-2.12118554571686,-14.9672443259565,8.13532331679718e-10,3.27446763501087e-08,"MYC_IRF",0.114533744621592,0.124329236414672
-2.47219685397572,-2.44540763331677,-14.0782026255074,1.76205096254201e-09,5.67380409938528e-08,"MEF2",0.137865007823964,0.156920773688772
-2.04965305002985,-2.03617089587111,-12.70593672668,5.92600843122406e-09,1.41881085479886e-07,"PU1_MYC_PU1",0.112771189040268,0.140612902663406
-2.52330300572136,-2.4907270524998,-12.4460578429805,7.85535796863156e-09,1.41881085479886e-07,"MEF2_MEF2_MEF2",0.160879889320028,0.18160518201049
-3.20241218714566,-3.16139205732876,-12.4900163887706,7.92973415052142e-09,1.41881085479886e-07,"FOXO_CTCF_FOXO_CTCF",0.215429191799733,0.235338184500267
-1.7870715050032,-1.78405126379234,-12.3849792857955,7.93124080322344e-09,1.41881085479886e-07,"PU1_CTCF_PU1",0.103524653492161,0.123055280432915
-2.06659117922787,-2.05876591867041,-12.0376176871993,1.13370735033884e-08,1.82526883404553e-07,"FOXO_CTCF_FOXO",0.104162875075527,0.149826719892589
-2.99555651874756,-2.99525044432428,-11.8152494384564,1.51735231580793e-08,2.22085202586433e-07,"RUNX3_MEF2_RUNX3",0.193324040536546,0.231270793489973
-1.94256164737668,-1.9389838622024,-11.2221646271707,2.58652964825298e-08,3.42157222329874e-07,"PU1_PU1_PU1",0.128091856959987,0.14966161140396
-2.11921381747135,-2.12156744098618,-11.1707436533654,2.76276018030333e-08,3.42157222329874e-07,"RUNX3_NFKB",0.130027557014351,0.166164354785667
-1.67241282568698,-1.67074178359106,-10.8765795388392,3.68001503491233e-08,4.23201729014918e-07,"NFKB",0.114865329766143,0.129579194894906
-1.37177971484787,-1.37647068849267,-10.6826526511409,4.4855419933084e-08,4.81448173948435e-07,"IRF_RUNX3_IRF",0.0916440888122337,0.103789325106968
-2.74881528350884,-2.61665391992645,-10.5836154103053,5.463119039096e-08,5.49726353309036e-07,"MEF2_RUNX3",0.156247580282706,0.234870673329138
-3.16391505993437,-3.17398642903333,-10.5131660067878,6.10238472856681e-08,5.77931730176033e-07,"NFKB_CTCF",0.200172909440292,0.275928359946721
-2.78263148588993,-2.80517972493938,-10.2669775479455,7.806759702796e-08,6.98271284527865e-07,"FOXO_CTCF",0.189521642109794,0.245407868897143
-1.56908813710236,-1.56190616825655,-9.85505271376828,1.15211655321524e-07,9.76267184566598e-07,"MYC_NFKB",0.113621442205684,0.132526305967284
