"logFC","AveExpr","t","P.Value","adj.P.Val","uid","stdev.unscaled","SE"
-6.43561545578756,-6.42443243582321,-42.6065569664041,7.27184955599979e-13,9.17890611950358e-11,"MYC_IRF_MYC",0.152330292047361,0.144873969863862
-5.35235993691291,-5.35291215961934,-40.1513585554128,1.257384399932e-12,9.17890611950358e-11,"MYC_MYC_MYC",0.132576591998988,0.12675350758195
-6.48155668319987,-6.47438148002854,-38.2065917585127,2.1743537094013e-12,1.05818547190863e-10,"RUNX3_IRF_RUNX3",0.156788132071443,0.162760455490787
-6.02216530468144,-6.00897511357307,-34.8794056190735,5.31756084413428e-12,1.94090970810901e-10,"MYC_MYC_MYC_MYC",0.148319836961716,0.165115511478164
-6.2917624474123,-6.32041573509883,-31.843341323525,1.33772725645942e-11,3.11155581250988e-10,"MYC_MYC",0.194223498489431,0.189324605741818
-6.02889138235737,-6.03096037764251,-31.3438713355476,1.54981613268649e-11,3.11155581250988e-10,"IRF_CTCF_IRF",0.176607458517208,0.183954844466976
-5.93233475631925,-5.91073112434981,-31.1516651879872,1.64123944878023e-11,3.11155581250988e-10,"RUNX3_MYC_RUNX3",0.164151899187741,0.181990282582764
-6.31169139374138,-6.2894785495233,-30.9190841793803,1.7972161226116e-11,3.11155581250988e-10,"MYC_RUNX3_MYC",0.158223782360496,0.195628594715667
-4.34126162896975,-4.34309546625204,-30.4108330445806,1.91808235017732e-11,3.11155581250988e-10,"MYC_PU1_MYC",0.131787926489086,0.134104423155969
-6.61712281646548,-6.49993339446614,-29.6225101805385,2.79004227123659e-11,4.07346171600542e-10,"MYC_FOXO_MYC",0.215032717105258,0.214502024707083
-5.70775140891231,-5.69498358705524,-28.8892496954745,3.45051814345584e-11,4.57977862676866e-10,"RUNX3_RUNX3_RUNX3",0.189058887907021,0.188468619312444
-5.87859217588573,-5.88556118447361,-27.8685842088647,4.97849546512486e-11,6.05716948256858e-10,"FOXO_CTCF_FOXO",0.148820121652652,0.201501365407206
-5.36922332211818,-5.35183195989784,-26.9899415000406,6.68982878737301e-11,6.62469285657544e-10,"RUNX3_PU1_RUNX3",0.142572715472602,0.189188587766176
-4.57767662734165,-4.58760965309807,-26.8111058642488,6.84322327757059e-11,6.62469285657544e-10,"FOXO_RUNX3_FOXO",0.143188690178634,0.160927424752785
-4.62233933019182,-4.62059741065535,-26.6723211535356,7.22584511698532e-11,6.62469285657544e-10,"CTCF_PU1",0.183540941848316,0.163439278466402
-4.49427283096479,-4.49332999358178,-26.638862900035,7.25993737706898e-11,6.62469285657544e-10,"MYC_NFKB_MYC",0.125341987107949,0.158837051003609
-6.25340740926113,-6.28150857072403,-26.4954264640436,8.37007144490041e-11,7.188414299738e-10,"CTCF",0.205959891765462,0.226090831621704
-3.77198518090663,-3.76834953779841,-25.6718737731085,9.99101930101367e-11,8.10382676637776e-10,"IRF_MYC_IRF",0.133862456552393,0.136684638062863
-5.22166775249657,-5.20609871190439,-25.6825901127655,1.08877133712267e-10,8.34482373781984e-10,"IRF_NFKB_IRF",0.163173756538514,0.193073725231401
-6.33810048628098,-6.24535915435766,-25.6877166324102,1.14312653942738e-10,8.34482373781984e-10,"IRF_MYC",0.233757118133615,0.236496928371682
-4.0204000079096,-4.0123136346738,-25.1567864336972,1.24433909145616e-10,8.65111939774282e-10,"NFKB_MYC",0.15644729463694,0.149357932181786
-6.01144611085056,-5.96265489990911,-24.9132130373722,1.52941695620907e-10,1.01497670730238e-09,"CTCF_MYC",0.227102976386573,0.230737468362415
-3.91047587552147,-3.91400395146776,-24.4793674469958,1.61982982634251e-10,1.02823980280872e-09,"IRF_RUNX3_IRF",0.133055608032676,0.149000642176941
-7.01750743541083,-7.00808996634045,-23.9726104562452,2.33033892001804e-10,1.38070581918279e-09,"CTCF_RUNX3",0.31852083562447,0.281757927110412
-6.12265467171212,-6.12368851600635,-23.7790005697039,2.44172435391695e-10,1.38070581918279e-09,"CTCF_CTCF",0.256868465724769,0.246419955653809
-6.30995706773288,-6.28680086351762,-23.7806555160616,2.45879118484606e-10,1.38070581918279e-09,"rd",0.274652941691879,0.254279057102314
-6.65537703837718,-6.61149533173714,-23.6140885156675,2.67185618899252e-10,1.4412724789707e-09,"MYC_MEF2_MYC",0.196443673822527,0.270700375680483
-4.04849098227134,-4.07927537449844,-23.2198758678709,2.76408420624519e-10,1.4412724789707e-09,"FOXO_IRF_FOXO",0.175352129825573,0.163026563879071
-5.90625034513879,-5.90890577203164,-22.4910375674196,4.20399096943035e-10,2.11649200529942e-09,"MYC_CTCF_MYC",0.223588142623339,0.250909542184916
-6.7928396373235,-6.79519311946115,-22.2875531176456,4.76520975884189e-10,2.31906874930305e-09,"FOXO_MEF2",0.322290741181946,0.292979906633174
-6.10142345762403,-6.03038581663452,-21.5737094262282,6.40417691951455e-10,3.01616074273911e-09,"FOXO_CTCF",0.214587598835341,0.270625182551695
-6.06728623608426,-5.95951719405911,-21.0476177845294,8.16455243606794e-10,3.725077048956e-09,"RUNX3_FOXO",0.262655490785638,0.275767637443357
-7.07170218761373,-7.07440095631679,-21.0372911531812,8.52178883897509e-10,3.77024597118292e-09,"IRF_CTCF",0.274017895612774,0.323647551968702
-5.73103847170879,-5.73956564067764,-20.8353388158513,8.89301524640524e-10,3.81876537051519e-09,"FOXO_MYC",0.273898349318734,0.262438931960876
-6.06872268093602,-6.09088564910944,-20.5266891296283,1.04604957846597e-09,4.36352109874378e-09,"CTCF_NFKB_CTCF",0.302256927417906,0.282836079332555
-6.20241019757026,-6.21511148781017,-20.4127499539107,1.11134229071399e-09,4.4419628938925e-09,"RUNX3_CTCF",0.289963847109789,0.290964020288634
-6.30698572445458,-6.23688144557003,-20.3465934752848,1.15241815170521e-09,4.4419628938925e-09,"RUNX3_FOXO_RUNX3",0.290691725527335,0.297049789978969
-5.24128516983837,-5.16862698506534,-20.2406318825732,1.15612732854736e-09,4.4419628938925e-09,"IRF",0.237559269663025,0.245953327588096
-7.0978617179903,-7.08023531254441,-20.3392559775267,1.19054479824974e-09,4.45691129601183e-09,"NFKB_CTCF",0.320127891087811,0.336041166879873
-5.94312532472117,-5.88638271924805,-20.0573287875174,1.30745345094993e-09,4.77220509596724e-09,"RUNX3_CTCF_RUNX3",0.221443611379118,0.283192790977349
-5.18229889802527,-5.03572994439772,-19.622497052996,1.56533539597318e-09,5.57412116614841e-09,"RUNX3_NFKB",0.175270395092581,0.250695132169247
-6.51836338153699,-6.45253918352952,-19.0783949357966,2.19209123589231e-09,7.62012667714947e-09,"CTCF_CTCF_CTCF",0.275693296913111,0.327875012376768
-3.35605564920438,-3.35878187272618,-18.5129330776391,2.46192519868068e-09,8.35909486063674e-09,"PU1_MYC",0.186879631494829,0.167073538828188
-5.61710365324139,-5.64623835232218,-18.5211514050041,2.82496900073994e-09,9.34342145212323e-09,"CTCF_NFKB",0.299335299826326,0.289078639352898
-4.57079006002262,-4.53580978232302,-18.3574801792561,2.91499004337431e-09,9.34342145212323e-09,"MYC_NFKB",0.227672900018333,0.234659420145069
-3.07510560571756,-3.0649608208382,-18.1357020004361,2.94381771779225e-09,9.34342145212323e-09,"IRF_IRF_IRF",0.150691669293636,0.155057201525265
-5.62919329302809,-5.63909916038994,-18.3473606972568,3.10111614377169e-09,9.49981028563314e-09,"RUNX3_RUNX3",0.296884661654531,0.292475793970553
-5.51147482697669,-5.52722540115175,-18.3236985099276,3.12322529938624e-09,9.49981028563314e-09,"FOXO_MYC_FOXO",0.299207913467612,0.286429097177044
-6.33314825711754,-6.27831052684185,-18.2315652646503,3.40182787195298e-09,9.94133212794835e-09,"FOXO_FOXO_FOXO",0.278168914288719,0.332945293679926
-6.96606881590645,-6.96881695780897,-18.2720029223612,3.40740295174819e-09,9.94133212794835e-09,"CTCF_PU1_CTCF",0.365591794160186,0.366847271125898
-6.22817519065502,-6.22753896799288,-18.1855704851796,3.47265711318744e-09,9.94133212794835e-09,"MYC",0.359896465523779,0.328015048506867
-6.31578693113492,-6.27393004130387,-18.1086706747931,3.63305824583134e-09,1.02005096902188e-08,"PU1_CTCF",0.262178703617576,0.334246098678377
-4.39475366513141,-4.23554895294644,-17.5536988594187,4.47535983582951e-09,1.22339853842296e-08,"NFKB_RUNX3",0.226304405141896,0.235375990689318
-5.98512616182834,-5.92566960128695,-17.683590218938,4.52489870375615e-09,1.22339853842296e-08,"RUNX3",0.315163122881607,0.323582015029197
-4.94184034622131,-4.92983541918128,-17.4620442572609,4.86635661442723e-09,1.2917964831025e-08,"IRF_RUNX3",0.270932421210026,0.267941477610333
-6.31653323944927,-6.28638030978571,-17.4064274268742,5.35599030361606e-09,1.3963831862999e-08,"NFKB_CTCF_NFKB",0.255849836312091,0.347773766848293
-5.34837014374981,-5.29062342656872,-17.2953012380886,5.4617759053323e-09,1.39898119680441e-08,"RUNX3_MEF2_RUNX3",0.30840594880296,0.294029902567804
-5.49321105731743,-5.42599554003518,-17.2618973000765,5.60597563554889e-09,1.41115938412093e-08,"CTCF_FOXO",0.263782042426897,0.302989674921798
-6.06476510809763,-6.05564302301735,-17.0865838683329,6.35730845028717e-09,1.53108064869241e-08,"CTCF_MEF2",0.339884595555827,0.339548896781899
-5.43068826571671,-5.42048751918,-17.0288263072712,6.38490910907254e-09,1.53108064869241e-08,"MYC_MEF2",0.34768589542258,0.303465063688879
-6.06068828407812,-6.06741462295636,-17.0754319876939,6.39698079248198e-09,1.53108064869241e-08,"MEF2_MYC",0.366026157296281,0.339531900711071
-6.29728606053662,-6.26430476548475,-17.0284144529264,6.63615403614669e-09,1.56270724077003e-08,"MEF2_CTCF",0.333915575682995,0.354363682619071
-5.15609615916458,-5.13554648627461,-16.5686619320713,8.2318628246124e-09,1.9077015434816e-08,"NFKB",0.275655246885961,0.295320272294257
-5.74175407068672,-5.73970698314643,-16.5475794679214,8.57666884141825e-09,1.95655257944854e-08,"MYC_RUNX3",0.335549401543191,0.331088886774878
-5.82874548734207,-5.81778540732569,-16.4680676577053,9.02524207485379e-09,2.02720821989024e-08,"MYC_IRF",0.350232951812209,0.337969894051541
-6.84117460755013,-6.76339755621033,-16.4674418178788,9.39873066285841e-09,2.07911314663231e-08,"CTCF_FOXO_CTCF",0.333009955891959,0.399463394160858
-5.09817667038973,-5.07972416603136,-16.2512864995443,9.91344495000224e-09,2.16024322791094e-08,"FOXO_RUNX3",0.285265309699482,0.297523661569288
-6.166532860462,-6.10534294353938,-16.3096721687556,1.00631118509564e-08,2.16060930917594e-08,"MYC_CTCF",0.280348847049641,0.361963036015986
-5.63023109990842,-5.62459311501267,-15.9537173064793,1.21909981064676e-08,2.57954452687574e-08,"MEF2_MYC_MEF2",0.363455306271565,0.336422953407531
-5.6460723705243,-5.63907606527295,-15.91191958476,1.25160590140582e-08,2.61049230864643e-08,"CTCF_IRF_CTCF",0.36184636846464,0.338302235378705
-3.55987150770785,-3.51466725319814,-15.6416520222746,1.30252828556961e-08,2.67843844638258e-08,"MYC_PU1",0.237095486606506,0.21077294758758
-5.44041042060453,-5.44554490278298,-15.6326344003028,1.47279464536097e-08,2.98650025309309e-08,"FOXO_MYC_FOXO_FOXO",0.310832639468879,0.331190244855368
-5.66045985397819,-5.61428040258334,-15.5057947235309,1.61111788714504e-08,3.22223577429008e-08,"FOXO_RUNX3_FOXO_FOXO",0.333111977379786,0.348090861795915
-6.25674042583683,-6.27579491739573,-15.2666111372977,1.9229421590633e-08,3.79391290842219e-08,"CTCF_IRF",0.351652218872243,0.392602259014765
