Enhancer	Enhancer_barcode_count
RUNX3_PU1_RUNX3	19
RUNX3_IRF_RUNX3	11
MYC_FOXO	12
MYC_RUNX3_MYC	24
PU1_RUNX3_PU1	22
NFKB_PU1_NFKB	28
IRF_FOXO_IRF	16
FOXO_FOXO	12
NFKB	11
FOXO_CTCF	11
IRF_IRF	10
PU1_NFKB_PU1	16
PU1_MYC_PU1	23
NFKB_FOXO_NFKB	18
IRF_CTCF_IRF	12
MYC_FOXO_MYC	17
FOXO_MYC	13
MYC_PU1_MYC	11
FOXO	14
MYC_NFKB_MYC	27
MYC_MYC_MYC	37
MYC_MEF2_MYC	12
PU1_CTCF_PU1	12
IRF_MYC	10
PU1_FOXO_PU1	21
RUNX3_MYC_RUNX3	19
IRF_NFKB	14
NFKB_RUNX3_NFKB	15
NFKB_IRF_NFKB	18
FOXO_MEF2_FOXO	13
IRF_PU1_IRF	18
PU1_PU1_PU1	16
NFKB_MYC_NFKB	28
FOXO_IRF_FOXO	12
RUNX3_CTCF_RUNX3	12
CTCF_MYC	10
NFKB_RUNX3	12
FOXO_FOXO_FOXO	11
MYC_IRF_MYC	19
IRF_MYC_IRF	12
PU1_PU1	13
MYC_NFKB	13
IRF_IRF_IRF	13
IRF_RUNX3_IRF	12
PU1_IRF_PU1	24
FOXO_PU1_FOXO	14
PU1_FOXO	10
NFKB_NFKB_NFKB	18
RUNX3_PU1	13
RUNX3_RUNX3_RUNX3	10
PU1_NFKB	12
PU1_MEF2_PU1	12
