Enhancer	Enhancer_barcode_count
IRF_MEF2_IRF	138
NFKB_MYC_NFKB	254
NFKB_NFKB_NFKB	197
NFKB_RUNX3_NFKB	139
IRF_PU1_IRF	94
FOXO_RUNX3_FOXO_FOXO	30
FOXO_IRF_FOXO	148
IRF_RUNX3_IRF	137
PU1	69
NFKB_FOXO_NFKB	147
CTCF_MEF2_CTCF	12
MYC_IRF_MYC	70
FOXO_FOXO_FOXO_FOXO_FOXO	10
RUNX3_CTCF_RUNX3	53
PU1_MEF2_PU1	108
NFKB_FOXO	65
MYC_MYC	58
PU1_MYC_PU1	62
IRF_IRF	84
MYC_MEF2	29
FOXO_MEF2_FOXO	66
FOXO_PU1_FOXO_FOXO	33
MYC_NFKB_MYC	166
NFKB_MYC	77
MYC_MYC_MYC_MYC_MYC	27
RUNX3_MEF2	28
NFKB_IRF_NFKB	131
PU1_NFKB_PU1	101
RUNX3_NFKB_RUNX3	34
RUNX3_PU1	54
FOXO_CTCF_FOXO_FOXO	16
RUNX3_MYC_RUNX3	38
IRF_FOXO_IRF	152
IRF_MYC	53
NFKB	55
NFKB_NFKB_NFKB_NFKB_NFKB	22
FOXO_CTCF_FOXO	74
FOXO_MYC	38
FOXO_NFKB_FOXO_FOXO	37
NFKB_PU1_NFKB	163
PU1_PU1_PU1	50
MYC_MEF2_MYC	38
CTCF_RUNX3_CTCF	19
CTCF_PU1	32
FOXO_RUNX3_FOXO	132
FOXO_FOXO	33
IRF_NFKB	63
NFKB_CTCF_NFKB	50
PU1_IRF_PU1	96
FOXO_CTCF_FOXO_CTCF	15
IRF_IRF_IRF	187
FOXO	52
PU1_PU1	49
MYC	35
MEF2_NFKB_MEF2_NFKB	19
CTCF_RUNX3	35
MEF2_RUNX3	27
MYC_PU1_MYC	67
NFKB_MEF2	45
FOXO_NFKB_FOXO_NFKB_FOXO	33
RUNX3_NFKB	43
NFKB_PU1	75
IRF_MEF2	59
FOXO_CTCF	23
MEF2_MYC	20
IRF_MYC_IRF	185
PU1_FOXO_PU1	106
MYC_NFKB	58
NFKB_IRF	46
FOXO_FOXO_FOXO	79
MEF2	35
MYC_MYC_MYC	93
MYC_MYC_MYC_MYC	52
NFKB_NFKB_NFKB_NFKB	47
FOXO_NFKB_FOXO	63
CTCF_FOXO_CTCF	23
MEF2_IRF	41
FOXO_IRF_FOXO_IRF	40
IRF_NFKB_IRF	85
FOXO_MYC_FOXO_FOXO	24
rd	30
IRF	82
CTCF_FOXO	36
FOXO_RUNX3_FOXO_RUNX3_FOXO	11
PU1_RUNX3_PU1	74
IRF_FOXO	91
IRF_IRF_IRF_IRF	39
MYC_FOXO	29
MYC_RUNX3_MYC	55
MYC_CTCF_MYC	24
FOXO_PU1	74
PU1_NFKB	68
FOXO_PU1_FOXO	124
FOXO_NFKB_FOXO_NFKB	44
MEF2_MEF2	12
CTCF_MYC	26
RUNX3_PU1_RUNX3	27
FOXO_FOXO_FOXO_FOXO	24
PU1_FOXO	60
RUNX3_CTCF	31
MEF2_NFKB	38
PU1_IRF	43
RUNX3_MYC	33
CTCF_IRF	24
FOXO_MYC_FOXO	79
PU1_RUNX3	57
RUNX3_FOXO	35
MEF2_IRF_MEF2_IRF	23
FOXO_PU1_FOXO_PU1_FOXO	12
FOXO_IRF	90
NFKB_RUNX3	51
RUNX3_MEF2_RUNX3	24
PU1_CTCF_PU1	82
CTCF_CTCF_CTCF	33
PU1_CTCF	30
FOXO_NFKB	35
FOXO_IRF_FOXO_IRF_FOXO	14
MYC_FOXO_MYC	70
RUNX3_FOXO_RUNX3	15
PU1_MYC	49
MYC_IRF	65
NFKB_MEF2_NFKB	124
MYC_RUNX3	37
MYC_CTCF	26
FOXO_RUNX3	48
MEF2_FOXO_MEF2	34
RUNX3_IRF	52
CTCF_CTCF	26
MEF2_IRF_MEF2	51
CTCF	30
RUNX3_IRF_RUNX3	10
IRF_RUNX3	60
NFKB_NFKB	79
PU1_MEF2	31
CTCF_NFKB_CTCF	21
CTCF_NFKB	23
FOXO_MYC_FOXO_MYC	30
RUNX3_RUNX3	26
IRF_CTCF	28
RUNX3	42
IRF_PU1	75
FOXO_MEF2	38
FOXO_RUNX3_FOXO_RUNX3	18
FOXO_IRF_FOXO_FOXO	43
MEF2_NFKB_MEF2	16
MEF2_FOXO	33
RUNX3_RUNX3_RUNX3	34
MEF2_PU1_MEF2	55
MEF2_MEF2_MEF2	28
NFKB_CTCF	16
MYC_PU1	29
MEF2_PU1	19
MEF2_CTCF	20
FOXO_MYC_FOXO_MYC_FOXO	11
IRF_CTCF_IRF	48
CTCF_PU1_CTCF	10
FOXO_PU1_FOXO_PU1	15
MEF2_PU1_MEF2_MEF2	11
MEF2_PU1_MEF2_PU1	15
IRF_IRF_IRF_IRF_IRF	14
MEF2_MYC_MEF2	11
