Enhancer	Enhancer_barcode_count
FOXO_NFKB	34
PU1_MYC_PU1	133
PU1_IRF	46
IRF_FOXO_IRF	82
NFKB_NFKB_NFKB	94
FOXO_CTCF_FOXO_FOXO	13
NFKB_RUNX3_NFKB	126
PU1_IRF_PU1	120
NFKB_MYC	72
PU1_MEF2_PU1	76
IRF_NFKB_IRF	79
MEF2_NFKB	21
FOXO	24
MYC_MYC_MYC_MYC	67
CTCF_NFKB_CTCF	30
NFKB_MYC_NFKB	173
MYC_MYC	38
FOXO_PU1	85
MEF2_IRF_MEF2	22
FOXO_CTCF	54
PU1_FOXO_PU1	94
RUNX3_MYC	27
RUNX3_IRF_RUNX3	68
FOXO_FOXO_FOXO	36
NFKB_PU1_NFKB	90
PU1	72
IRF_MYC_IRF	121
RUNX3_CTCF	43
PU1_CTCF	33
MYC_RUNX3_MYC	72
PU1_PU1_PU1	87
MYC_CTCF_MYC	43
MYC_MEF2_MYC	48
CTCF_RUNX3	33
RUNX3_MEF2_RUNX3	39
PU1_NFKB_PU1	87
MYC_NFKB_MYC	190
FOXO_NFKB_FOXO	31
CTCF_PU1_CTCF	15
PU1_FOXO	57
NFKB	39
MYC_PU1_MYC	124
RUNX3_PU1_RUNX3	91
NFKB_FOXO_NFKB	95
IRF_MEF2_IRF	49
rd	33
NFKB_IRF_NFKB	81
MYC_IRF_MYC	65
RUNX3_NFKB	58
FOXO_IRF	42
MEF2_RUNX3	15
MYC_NFKB	61
FOXO_CTCF_FOXO	81
RUNX3_MYC_RUNX3	66
FOXO_RUNX3_FOXO_RUNX3	21
PU1_PU1	48
CTCF_CTCF	48
PU1_RUNX3_PU1	100
PU1_CTCF_PU1	94
CTCF_MEF2_CTCF	15
MYC_MYC_MYC_MYC_MYC	31
PU1_MYC	69
MYC_FOXO	27
CTCF_PU1	67
RUNX3	31
IRF_IRF	46
PU1_MEF2	30
IRF_MYC	39
FOXO_MEF2	11
NFKB_RUNX3	52
MYC_FOXO_MYC	41
NFKB_IRF	33
IRF_FOXO	47
IRF_CTCF	31
CTCF	41
MEF2_IRF	29
FOXO_RUNX3_FOXO_FOXO	21
RUNX3_MEF2	12
MYC_CTCF	35
NFKB_CTCF_NFKB	48
IRF_PU1	59
RUNX3_FOXO	34
FOXO_NFKB_FOXO_FOXO	10
IRF_RUNX3	46
NFKB_FOXO	45
FOXO_RUNX3_FOXO	91
MYC_MYC_MYC	99
IRF_IRF_IRF	102
CTCF_CTCF_CTCF	37
IRF_RUNX3_IRF	125
RUNX3_RUNX3_RUNX3	59
IRF	42
FOXO_FOXO	24
MEF2_MYC_MEF2	12
IRF_CTCF_IRF	56
PU1_NFKB	45
RUNX3_NFKB_RUNX3	46
NFKB_MEF2_NFKB	56
FOXO_RUNX3	42
FOXO_MYC_FOXO	30
RUNX3_CTCF_RUNX3	53
CTCF_RUNX3_CTCF	16
PU1_RUNX3	52
MYC_IRF	34
FOXO_PU1_FOXO	94
NFKB_NFKB	40
RUNX3_RUNX3	33
FOXO_IRF_FOXO	80
MEF2_PU1_MEF2	35
RUNX3_PU1	92
IRF_MEF2	20
CTCF_MYC	40
MYC_PU1	51
NFKB_PU1	48
MEF2_MYC	16
FOXO_MYC	32
NFKB_CTCF	29
CTCF_FOXO	34
RUNX3_IRF	39
IRF_NFKB	47
RUNX3_FOXO_RUNX3	39
MYC_RUNX3	28
CTCF_FOXO_CTCF	28
FOXO_MYC_FOXO_MYC	11
RUNX3_RUNX3_RUNX3_RUNX3	24
MEF2_CTCF	33
MYC	24
CTCF_IRF	28
MEF2_PU1	24
FOXO_IRF_FOXO_FOXO	11
NFKB_MEF2	22
CTCF_MEF2	12
MEF2_FOXO_MEF2	10
PU1_PU1_PU1_PU1	10
MEF2_FOXO	18
MEF2_NFKB_MEF2	12
FOXO_MEF2_FOXO	38
IRF_PU1_IRF	74
CTCF_NFKB	32
MYC_MEF2	12
FOXO_PU1_FOXO_FOXO	14
CTCF_IRF_CTCF	20
MEF2	16
FOXO_IRF_FOXO_IRF	13
FOXO_MYC_FOXO_FOXO	12
IRF_IRF_IRF_IRF	12
